Class,Category,ID,Term,Genes,adj_pval
BC3,BP,GO:0007409,axonogenesis,"Cntn5, Cdh11, Epha3, Cntn4, Ctnna2, Nrp2, Sema3e, Nfib, Zeb2, Lhx4, Ptprz1, Slitrk5, Stxbp5, Ank3, Tenm2, Bmpr1b",6.39E-09
BC3,BP,GO:0050808,synapse organization,"Cntn5, Epha3, Ctnna2, Unc13c, Nrp2, Sema3e, Adgrl2, Adgrb3, Pcdh17, Zfp804a, Tanc2, C1ql3, Slitrk5, Ank3",4.70E-07
BC3,BP,GO:0035637,multicellular organismal signaling,"Grm7, Kcnmb2, Cacna1h, Tmem65, Pde4d, Scn1a, Jam3, Ank3, Kcnmb4",1.00E-06
BC3,BP,GO:0007411,axon guidance,"Cntn5, Epha3, Cntn4, Nrp2, Sema3e, Nfib, Lhx4, Ank3, Tenm2, Bmpr1b",3.36E-06
BC3,BP,GO:0097485,neuron projection guidance,"Cntn5, Epha3, Cntn4, Nrp2, Sema3e, Nfib, Lhx4, Ank3, Tenm2, Bmpr1b",3.36E-06
BC3,BP,GO:0019226,transmission of nerve impulse,"Grm7, Kcnmb2, Cacna1h, Scn1a, Jam3, Ank3, Kcnmb4",5.58E-06
BC3,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,"Cntn5, Cdh11, Epha3, Cdh18, Pcdh17, Pcdh15, Tenm2, Pcdh10, Cadm3",6.88E-06
BC3,BP,GO:0034329,cell junction assembly,"Cntn5, Cdh11, Epha3, Cdh18, Adgrl2, Adgrb3, Pcdh17, Slitrk5, Tjp1, Jam3, Cgn",3.49E-05
BC3,BP,GO:0019228,neuronal action potential,"Kcnmb2, Cacna1h, Scn1a, Ank3, Kcnmb4",8.11E-05
BC3,BP,GO:0050807,regulation of synapse organization,"Ctnna2, Nrp2, Adgrl2, Adgrb3, Zfp804a, Tanc2, C1ql3, Slitrk5",0.000345745
BC3,BP,GO:0050803,regulation of synapse structure or activity,"Ctnna2, Nrp2, Adgrl2, Adgrb3, Zfp804a, Tanc2, C1ql3, Slitrk5",0.000392377
BC3,BP,GO:0001964,startle response,"Ctnna2, Csmd1, Pcdh15, Kcnh1",0.000777464
BC3,BP,GO:0001508,action potential,"Kcnmb2, Cacna1h, Trpc4, Scn1a, Ank3, Kcnmb4",0.000839937
BC3,BP,GO:0006936,muscle contraction,"Ryr3, Prkg1, Cacna1h, Pde4d, Scn1a, Cald1, Sulf2, Tbx2",0.000865991
BC3,BP,GO:0034332,adherens junction organization,"Cdh11, Cdh18, Tjp1, Jam3",0.002100068
BC3,BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,"Cntn5, Cdh11, Pcdh15, Pcdh10, Cadm3",0.003035075
BC3,BP,GO:0006939,smooth muscle contraction,"Prkg1, Pde4d, Cald1, Sulf2, Tbx2",0.003522489
